age_band_id,age_band_label,category_entity_id,category_type_id,display_name
9-12m,9–12 months,cat_blind_cord_cleats,3fea4f0a-623e-4d7e-bc62-902553cce684,Blind-cord tidies and cleats
9-12m,9–12 months,cat_toy_rotation,6b1069fa-1de6-4fe8-843b-b537e489bad1,Tiny toy rotation basket
9-12m,9–12 months,cat_bath_supervision,3faf02a5-c0c7-46d0-9f75-122a4abd799e,Safe bath and water-play routines
9-12m,9–12 months,cat_park_swings,b9b965ec-d373-46b2-a8cf-0ccd87f2dfee,Park trips and baby swings
9-12m,9–12 months,cat_musical_noise,fcd2a021-6994-4d9c-a7b9-2f4780656aed,"Clapping, shaking and noisy play"
9-12m,9–12 months,cat_switchboard,8a7512f2-305d-4fe8-8893-632be7ca9e27,"Safe switches, flaps and buttons"
9-12m,9–12 months,cat_family_photos,28ef6834-320d-4fe5-9a33-c168d73ee4a0,Family photos and familiar faces
9-12m,9–12 months,cat_point_name_outings,cb23b67f-6fe5-48f3-b2a1-8db6647b4557,Point-and-name little outings
9-12m,9–12 months,cat_family_meal_plan,5b3ba2d3-dbbc-4c1a-8c0a-f08a09dd0250,Joining simple family meals
9-12m,9–12 months,cat_safe_laundry_play,ea52d44f-5f06-4810-9e60-d71abe4d11f4,Supervised laundry basket play
9-12m,9–12 months,cat_exclude_baby_walker,b3c57dea-aafd-41d4-a4eb-586d85174026,Skip seated baby walkers
9-12m,9–12 months,cat_low_obstacle,1499637d-b35d-4242-9833-b43a9a893dd2,Soft cushions and crawl-through games
9-12m,9–12 months,cat_pouches_caution,f3f256d8-0d2a-4ed6-b549-4b30b08f3140,Using pouches without relying on them
9-12m,9–12 months,cat_hide_favourite_toy,cc28cd24-e2a0-4abe-8303-ab8f26f3bad6,Hide-and-find favourite toys
9-12m,9–12 months,cat_texture_sensory,57da23ca-3fc2-444d-b994-7c654774fc18,Texture balls for touching and rolling
